Company,Date,Close/Last,Volume,Open,High,Low
META,09/19/2013,0.16,0.41,0.16,0.16,0.16
META,09/18/2013,0.16,0.51,0.15,0.15,0.16
META,09/17/2013,0.16,0.59,0.15,0.15,0.15
META,09/16/2013,0.15,0.46,0.15,0.15,0.15
META,09/13/2013,0.15,0.34,0.16,0.15,0.15
META,09-12-2013,0.15,0.44,0.16,0.15,0.16
META,09-11-2013,0.16,0.46,0.15,0.15,0.15
META,09-10-2013,0.15,0.35,0.15,0.15,0.15
META,09-09-2013,0.15,0.49,0.15,0.15,0.15
META,09-06-2013,0.15,0.76,0.15,0.15,0.15
META,09-05-2013,0.15,0.32,0.14,0.14,0.15
META,09-04-2013,0.14,0.27,0.14,0.14,0.14
META,09-03-2013,0.14,0.31,0.14,0.14,0.14
META,08/30/2013,0.14,0.44,0.14,0.14,0.14
META,08/29/2013,0.14,0.37,0.14,0.14,0.14
META,08/28/2013,0.14,0.37,0.14,0.14,0.14
META,08/27/2013,0.14,0.47,0.14,0.14,0.14
META,08/26/2013,0.14,0.61,0.14,0.14,0.14
META,08/23/2013,0.14,0.56,0.13,0.14,0.14
META,08/22/2013,0.13,0.14,0.13,0.13,0.13
META,08/21/2013,0.13,0.29,0.13,0.13,0.13
META,08/20/2013,0.13,0.37,0.13,0.13,0.13
META,08/19/2013,0.13,0.37,0.13,0.13,0.13
META,08/16/2013,0.13,0.29,0.13,0.13,0.13
META,08/15/2013,0.13,0.36,0.12,0.12,0.12
META,08/14/2013,0.13,0.31,0.13,0.13,0.13
META,08/13/2013,0.13,0.42,0.13,0.13,0.13
META,08-12-2013,0.13,0.2,0.13,0.13,0.13
META,08-09-2013,0.13,0.28,0.13,0.13,0.13
META,08-08-2013,0.13,0.26,0.13,0.13,0.13
META,08-07-2013,0.13,0.44,0.13,0.13,0.13
META,08-06-2013,0.13,0.41,0.13,0.13,0.13
META,08-05-2013,0.13,0.52,0.13,0.13,0.13
META,08-02-2013,0.13,0.47,0.13,0.13,0.13
META,08-01-2013,0.13,0.69,0.13,0.13,0.13
META,07/31/2013,0.13,1.0,0.13,0.13,0.13
META,07/30/2013,0.13,1.0,0.12,0.13,0.12
META,07/29/2013,0.12,0.81,0.12,0.12,0.12
META,07/26/2013,0.12,0.88,0.12,0.12,0.12
