date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2019-02-13,0.03,0.03,0.03,0.03,0.3,0.43,0.4,0.39,0.49,0.04,0.03,0.03,0.04,0.39,0.03,0.02,0.02,0.02,0.03
2019-02-14,0.03,0.03,0.03,0.03,0.31,0.37,0.37,0.3,0.39,0.04,0.03,0.03,0.04,0.39,0.03,0.02,0.02,0.02,0.03
2019-02-15,0.03,0.03,0.03,0.03,0.22,0.45,0.41,0.42,0.41,0.04,0.03,0.03,0.04,0.39,0.03,0.01,0.02,0.02,0.03
2019-02-19,0.03,0.03,0.03,0.03,0.24,0.41,0.39,0.47,0.41,0.03,0.03,0.03,0.04,0.39,0.03,0.01,0.02,0.02,0.03
2019-02-20,0.03,0.03,0.03,0.03,0.44,0.36,0.37,0.27,0.29,0.03,0.03,0.03,0.04,0.39,0.03,0.02,0.02,0.02,0.03
2019-02-21,0.03,0.03,0.03,0.03,0.56,0.23,0.29,0.15,0.16,0.03,0.03,0.03,0.04,0.38,0.03,0.04,0.02,0.02,0.03
2019-02-22,0.03,0.02,0.03,0.03,0.34,0.31,0.32,0.24,0.22,0.03,0.03,0.03,0.04,0.38,0.03,0.01,0.02,0.02,0.03
2019-02-25,0.03,0.03,0.03,0.03,0.4,0.39,0.37,0.44,0.33,0.03,0.03,0.03,0.04,0.38,0.03,0.02,0.02,0.02,0.03
2019-02-26,0.03,0.03,0.03,0.03,0.54,0.38,0.36,0.37,0.3,0.03,0.03,0.03,0.04,0.38,0.03,0.04,0.02,0.02,0.03
2019-02-27,0.03,0.03,0.03,0.03,0.71,0.63,0.51,0.77,0.58,0.03,0.03,0.03,0.04,0.39,0.03,0.06,0.02,0.02,0.03
2019-02-28,0.03,0.03,0.03,0.03,0.67,0.68,0.55,0.81,0.66,0.03,0.03,0.03,0.04,0.41,0.03,0.03,0.02,0.02,0.03
2019-03-01,0.03,0.03,0.03,0.03,1.0,0.37,0.36,0.43,0.35,0.03,0.03,0.03,0.04,0.4,0.03,0.09,0.03,0.02,0.02
2019-03-04,0.03,0.03,0.02,0.02,1.0,0.31,0.31,0.28,0.24,0.03,0.03,0.03,0.04,0.39,0.03,0.05,0.03,0.02,0.02
2019-03-05,0.02,0.02,0.02,0.02,1.0,0.25,0.27,0.17,0.15,0.03,0.03,0.03,0.04,0.37,0.03,0.05,0.03,0.02,0.02
2019-03-06,0.02,0.02,0.02,0.02,0.65,0.25,0.27,0.29,0.21,0.03,0.03,0.03,0.04,0.36,0.03,0.02,0.03,0.02,0.02
2019-03-07,0.02,0.02,0.02,0.02,0.59,0.26,0.27,0.35,0.27,0.03,0.03,0.03,0.04,0.35,0.03,0.03,0.03,0.02,0.02
2019-03-08,0.02,0.02,0.02,0.02,0.55,0.38,0.34,0.42,0.33,0.03,0.03,0.03,0.04,0.35,0.03,0.03,0.03,0.02,0.03
2019-03-11,0.02,0.02,0.02,0.03,0.45,0.47,0.4,0.58,0.4,0.03,0.03,0.03,0.04,0.35,0.03,0.03,0.02,0.02,0.02
2019-03-12,0.02,0.02,0.02,0.02,0.46,0.39,0.35,0.57,0.38,0.03,0.03,0.03,0.04,0.35,0.03,0.03,0.02,0.02,0.02
2019-03-13,0.02,0.02,0.02,0.02,0.42,0.46,0.39,0.72,0.42,0.03,0.03,0.03,0.04,0.36,0.03,0.03,0.02,0.02,0.03
2019-03-14,0.03,0.02,0.03,0.03,0.43,0.48,0.4,0.75,0.46,0.03,0.03,0.03,0.04,0.37,0.03,0.02,0.02,0.02,0.02
2019-03-15,0.02,0.02,0.02,0.02,0.96,0.32,0.31,0.28,0.33,0.03,0.03,0.03,0.04,0.36,0.03,0.05,0.02,0.02,0.02
2019-03-18,0.02,0.02,0.02,0.02,0.65,0.27,0.28,0.18,0.28,0.03,0.03,0.03,0.04,0.35,0.03,0.03,0.02,0.02,0.02
2019-03-19,0.02,0.02,0.02,0.02,0.75,0.25,0.26,0.25,0.27,0.03,0.03,0.03,0.04,0.34,0.03,0.03,0.02,0.02,0.02
2019-03-20,0.02,0.02,0.02,0.02,0.42,0.36,0.32,0.36,0.31,0.03,0.03,0.03,0.03,0.34,0.03,0.02,0.02,0.02,0.02
2019-03-21,0.02,0.02,0.02,0.02,0.36,0.37,0.33,0.41,0.35,0.03,0.03,0.03,0.03,0.34,0.03,0.02,0.02,0.02,0.02
